timestamp,frame_count,fps_avg,fps_min,fps_max,frame_ms_avg,frame_ms_min,frame_ms_max,decode_ms_avg,decode_ms_min,decode_ms_max,invoke_ms_avg,invoke_ms_min,invoke_ms_max,postproc_ms_avg,postproc_ms_min,postproc_ms_max,cpu_system_pct_avg,cpu_system_pct_min,cpu_system_pct_max,process_cpu_pct_avg,process_cpu_pct_min,process_cpu_pct_max,background_cpu_pct_avg,background_cpu_pct_min,background_cpu_pct_max,cpu_pct_avg,cpu_pct_min,cpu_pct_max,npu_pct_avg,npu_pct_min,npu_pct_max,ram_mb_avg,ram_mb_min,ram_mb_max,temp_c_avg,temp_c_min,temp_c_max,npu_core0_avg,npu_core0_min,npu_core0_max,npu_core1_avg,npu_core1_min,npu_core1_max,npu_core2_avg,npu_core2_min,npu_core2_max,power_w_avg,power_w_min,power_w_max,cpu_core_0_pct_avg,cpu_core_0_pct_min,cpu_core_0_pct_max,cpu_core_1_pct_avg,cpu_core_1_pct_min,cpu_core_1_pct_max,cpu_core_2_pct_avg,cpu_core_2_pct_min,cpu_core_2_pct_max,cpu_core_3_pct_avg,cpu_core_3_pct_min,cpu_core_3_pct_max,cpu_core_4_pct_avg,cpu_core_4_pct_min,cpu_core_4_pct_max,cpu_core_5_pct_avg,cpu_core_5_pct_min,cpu_core_5_pct_max,cpu_core_6_pct_avg,cpu_core_6_pct_min,cpu_core_6_pct_max,cpu_core_7_pct_avg,cpu_core_7_pct_min,cpu_core_7_pct_max
2026-07-14T14:03:58.159881,100,31.02,20.86,48.76,33.19,20.51,47.93,1.51,0.97,3.28,19.48,10.20,23.37,0.05,0.03,0.18,10.65,2.91,14.89,9.42,2.60,12.43,1.23,0.32,2.46,10.65,2.91,14.89,59.93,34.33,83.71,30.88,28.01,31.00,35.16,34.23,36.08,9.06,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,1.43,19.23,4.41,1.42,7.84,9.83,6.14,15.69,19.71,12.34,24.49,0.92,0.00,1.92,37.90,1.40,50.00,1.65,0.00,3.92,0.00,0.00,0.00
2026-07-14T14:04:01.486654,200,30.99,20.47,48.76,33.23,20.51,48.85,1.47,0.96,3.28,19.53,10.20,23.37,0.05,0.03,0.18,11.93,2.91,14.89,10.36,2.60,12.43,1.58,0.32,2.46,11.93,2.91,14.89,60.12,34.33,83.71,30.94,28.01,31.00,35.35,34.23,36.08,11.38,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.47,1.43,19.23,5.36,1.42,7.84,11.79,6.14,15.69,21.25,12.34,26.09,0.91,0.00,3.64,42.61,1.40,50.00,1.08,0.00,3.92,0.00,0.00,0.00
2026-07-14T14:04:04.830734,300,30.94,20.47,48.76,33.30,20.51,48.85,1.46,0.96,3.28,19.69,10.20,23.37,0.05,0.03,0.18,12.11,2.91,14.89,10.64,2.60,12.43,1.47,0.32,2.46,12.11,2.91,14.89,60.57,34.33,83.71,31.00,28.01,31.25,35.52,34.23,36.08,11.96,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.55,1.43,19.23,5.15,1.42,9.43,11.73,6.14,15.69,21.51,12.34,26.09,1.04,0.00,3.85,43.84,1.40,50.00,0.94,0.00,3.92,0.09,0.00,1.89
2026-07-14T14:04:08.163977,400,30.87,20.47,48.59,33.35,20.58,48.85,1.47,0.96,3.33,19.87,11.90,22.59,0.05,0.03,0.08,12.79,11.36,14.89,11.28,10.29,12.43,1.52,0.42,2.46,12.79,11.36,14.89,61.05,35.85,83.19,31.13,31.00,31.25,35.82,35.15,36.08,13.41,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,6.67,19.23,6.25,2.00,12.00,11.92,6.38,15.69,22.17,15.91,26.09,1.28,0.00,3.85,46.63,42.86,50.00,0.79,0.00,4.00,0.20,0.00,2.00
2026-07-14T14:04:11.509933,500,30.97,20.16,50.39,33.41,19.85,49.60,1.49,0.98,3.33,19.94,15.84,22.59,0.05,0.05,0.10,12.73,11.36,14.01,11.39,10.39,12.14,1.34,0.42,2.20,12.73,11.36,14.01,61.44,38.84,83.31,31.22,31.00,31.30,36.00,35.15,36.08,13.25,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.79,6.67,18.37,6.27,2.00,12.00,11.23,6.38,16.33,22.88,17.78,29.41,1.19,0.00,3.85,46.14,42.00,50.00,1.10,0.00,4.00,0.21,0.00,2.00
2026-07-14T14:04:14.832964,600,31.08,20.16,50.39,33.34,19.85,49.60,1.52,0.95,3.33,19.85,15.84,22.59,0.05,0.05,0.10,12.75,10.73,14.01,11.34,10.35,12.14,1.40,0.38,2.32,12.75,10.73,14.01,61.34,40.94,83.31,31.27,31.25,31.30,36.07,35.15,36.08,13.21,13.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.82,6.38,18.87,6.41,2.00,12.00,10.95,6.38,16.33,22.86,17.02,29.41,1.25,0.00,3.77,46.48,42.00,50.00,0.98,0.00,4.00,0.21,0.00,2.00
2026-07-14T14:04:18.158887,700,31.19,20.16,50.39,33.32,19.85,49.60,1.50,0.95,3.33,19.73,15.79,22.45,0.05,0.05,0.10,12.66,10.73,14.01,11.31,10.35,12.14,1.36,0.38,2.32,12.66,10.73,14.01,61.21,36.93,83.61,31.29,31.25,31.30,36.08,36.08,36.08,13.05,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.76,6.38,18.87,5.83,2.00,12.00,11.29,6.12,16.33,22.83,17.02,29.41,1.00,0.00,3.77,46.91,42.00,50.00,0.58,0.00,4.00,0.10,0.00,1.96
2026-07-14T14:04:21.489664,800,31.11,20.21,48.60,33.27,20.58,49.49,1.50,0.95,3.33,19.85,15.79,22.48,0.05,0.05,0.07,12.77,10.73,13.96,11.24,10.30,12.01,1.52,0.38,2.60,12.77,10.73,13.96,61.46,36.93,83.61,31.30,31.30,31.30,36.08,36.08,36.08,13.01,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,6.38,18.87,5.72,2.00,9.43,11.76,6.12,16.00,22.28,17.02,28.00,0.93,0.00,3.77,47.45,43.48,50.00,0.39,0.00,1.92,0.10,0.00,1.96
2026-07-14T14:04:24.822844,900,31.05,20.21,48.60,33.30,20.58,49.49,1.50,0.95,3.29,19.94,15.79,22.48,0.05,0.05,0.07,12.88,10.73,13.96,11.34,10.30,12.01,1.55,0.00,2.60,12.88,10.73,13.96,61.63,36.93,83.85,31.30,31.30,31.30,36.08,36.08,36.08,13.01,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.18,6.52,18.37,6.07,0.00,12.00,12.50,6.12,16.00,22.45,17.78,28.26,0.69,0.00,3.77,47.87,43.48,51.85,0.29,0.00,1.92,0.00,0.00,0.00
2026-07-14T14:04:28.169407,1000,30.94,19.29,45.91,33.37,21.78,51.84,1.49,0.95,3.27,19.93,16.20,22.48,0.05,0.05,0.08,12.82,11.12,13.96,11.24,10.30,12.01,1.60,0.00,2.60,12.82,11.12,13.96,61.39,41.30,83.85,31.30,31.30,31.30,36.08,36.08,37.00,13.17,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,6.82,18.37,5.72,0.00,12.00,12.20,7.84,16.67,22.32,16.67,28.26,0.89,0.00,5.77,47.68,44.00,51.85,0.39,0.00,1.92,0.00,0.00,0.00
